pid,business_time(ms),scavenge_count,scavenge_time,marksweep_count,marksweep_time
10,1298,1,8,1,51
10,1338,0,0,0,0
10,1341,1,6,1,38
10,1287,0,0,0,0
10,1351,1,5,1,34
10,1278,0,0,0,0
10,1329,1,8,1,39
10,1311,0,0,0,0
10,1278,1,14,1,38
10,1319,0,0,0,0
10,1315,1,9,1,48
10,1367,0,0,0,0
10,1385,1,9,1,34
10,1313,0,0,0,0
10,1332,1,8,1,34
10,1395,0,0,0,0
10,1300,1,8,1,32
10,1313,0,0,0,0
10,1469,1,7,1,42
10,1293,0,0,0,0
10,1387,1,11,1,31
10,1334,0,0,0,0
10,1332,1,24,1,46
10,1374,0,0,0,0
10,1454,1,8,1,47
10,1383,0,0,0,0
10,1429,1,9,1,30
10,1326,0,0,0,0
10,1337,1,29,1,36
10,1338,0,0,0,0
10,1291,1,11,1,39
10,1385,0,0,0,0
10,1422,1,26,1,38
10,1271,0,0,0,0
10,1354,1,13,1,33
10,1356,0,0,0,0
10,1341,1,9,1,52
10,1332,0,0,0,0
10,1236,1,11,1,36
10,1373,0,0,0,0
10,1386,1,12,1,30
10,1238,0,0,0,0
10,1330,1,10,1,26
10,1370,0,0,0,0
10,1299,1,19,1,50
10,1378,0,0,0,0
10,1311,1,14,1,27
10,1365,0,0,0,0
10,1309,1,9,1,37
10,1262,0,0,0,0
10,1397,1,11,1,43
10,1445,0,0,0,0
10,1224,1,7,1,28
10,1367,0,0,0,0
10,1276,1,6,1,26
10,1357,0,0,0,0
10,1321,1,13,1,32
10,1250,0,0,0,0
10,1332,1,22,1,47
10,1330,0,0,0,0
10,1240,1,19,1,36
10,1345,0,0,0,0
10,1219,1,7,1,30
10,1310,0,0,0,0
10,1243,1,8,1,24
10,1202,0,0,0,0
10,1297,1,13,1,18
10,1237,0,0,0,0
10,1256,1,10,1,31
10,1280,0,0,0,0
10,1211,1,15,1,15
10,1263,0,0,0,0
10,1231,1,26,1,20
10,1258,0,0,0,0
10,1352,1,6,1,25
10,1166,0,0,0,0
10,1273,1,8,1,17
10,1177,0,0,0,0
10,1367,1,13,1,30
10,1363,0,0,0,0
10,1199,1,7,1,18
10,1257,0,0,0,0
10,1213,1,5,1,17
10,1255,0,0,0,0
10,1328,1,7,1,18
10,1165,0,0,0,0
10,1259,1,6,1,17
10,1153,0,0,0,0
10,1300,1,9,1,21
10,1255,0,0,0,0
10,1268,1,7,1,23
10,1321,0,0,0,0
10,1245,1,11,1,20
10,1326,0,0,0,0
10,1270,1,3,1,21
10,1200,0,0,0,0
10,1362,1,6,1,24
10,1171,0,0,0,0
10,1301,1,3,1,20
10,1263,0,0,0,0
10,1462,1,11,1,31
10,1363,0,0,0,0
10,1242,1,6,1,27
10,1299,0,0,0,0
10,1356,1,8,1,19
10,1183,0,0,0,0
10,1386,1,5,1,20
10,1201,0,0,0,0
10,1346,1,11,1,48
10,1274,1,65,1,37
10,1474,1,2,0,0
10,1210,1,4,0,0
10,1388,0,0,0,0
10,1228,0,0,0,0
10,1481,0,0,0,0
10,1288,0,0,1,23
10,1158,0,0,0,0
10,1348,0,0,0,0
10,1260,0,0,1,22
10,1313,0,0,0,0
10,1242,0,0,0,0
10,1244,0,0,1,24
10,1260,0,0,0,0
10,1171,0,0,0,0
10,1283,0,0,1,40
10,1285,0,0,0,0
10,1171,0,0,0,0
10,1259,0,0,1,24
10,1167,0,0,0,0
10,1303,0,0,0,0
10,1237,0,0,1,29
10,1223,0,0,0,0
10,1290,0,0,0,0
10,1193,0,0,1,25
10,1339,0,0,0,0
10,1288,0,0,0,0
10,1298,0,0,1,40
10,1288,0,0,0,0
10,1158,0,0,0,0
10,1339,0,0,1,24
10,1205,0,0,0,0
10,1259,0,0,0,0
10,1269,0,0,1,23
10,1159,0,0,0,0
10,1265,0,0,0,0
10,1321,0,0,1,19
10,1258,0,0,0,0
10,1272,0,0,0,0
10,1182,0,0,1,22
10,1303,0,0,0,0
10,1227,0,0,0,0
10,1224,0,0,1,21
10,1236,0,0,0,0
10,1188,0,0,0,0
10,1302,0,0,1,18
10,1162,0,0,0,0
10,1275,0,0,0,0
10,1259,0,0,1,22
10,1210,0,0,0,0
10,1335,0,0,0,0
10,1176,0,0,1,19
10,1295,0,0,0,0
10,1198,0,0,0,0
10,1268,0,0,1,37
10,1242,0,0,0,0
10,1190,0,0,0,0
10,1260,0,0,1,26
10,1198,0,0,0,0
10,1237,0,0,0,0
10,1250,0,0,1,28
10,1179,0,0,0,0
10,1305,0,0,0,0
10,1218,0,0,1,25
10,1281,0,0,0,0
10,1249,0,0,0,0
10,1201,0,0,1,31
10,1240,0,0,0,0
10,1158,0,0,0,0
10,1362,0,0,1,24
10,1235,0,0,0,0
10,1268,0,0,0,0
10,1284,0,0,1,26
10,1167,0,0,0,0
10,1200,0,0,0,0
10,1218,0,0,1,20
10,1260,0,0,0,0
10,1400,0,0,0,0
10,1228,0,0,1,24
10,1291,0,0,0,0
10,1265,0,0,0,0
10,1271,0,0,1,31
10,1274,0,0,0,0
10,1322,0,0,0,0
10,1383,0,0,1,32
10,1344,0,0,0,0
10,1166,0,0,0,0
10,1316,0,0,1,22
10,1189,0,0,0,0
10,1282,0,0,0,0
10,1300,0,0,1,22
10,1239,0,0,0,0
10,1297,0,0,0,0
10,1232,0,0,1,26
10,1302,0,0,0,0
10,1173,0,0,0,0
10,1314,0,0,1,32
10,1312,0,0,0,0
10,1174,0,0,0,0
10,1499,0,0,1,22
10,1338,0,0,0,0
10,1345,0,0,0,0
10,1354,0,0,1,27
10,1151,0,0,0,0
10,1303,0,0,0,0
10,1234,0,0,1,23
10,1228,0,0,0,0
10,1276,0,0,0,0
10,1179,0,0,1,21
10,1316,0,0,0,0
10,1177,0,0,0,0
10,1212,0,0,1,24
10,1270,0,0,0,0
10,1220,0,0,0,0
10,1329,0,0,1,23
10,1399,0,0,0,0
10,1225,0,0,0,0
10,1275,0,0,1,26
10,1169,0,0,0,0
10,1241,0,0,0,0
10,1186,0,0,1,23
10,1208,0,0,0,0
10,1222,0,0,0,0
10,1232,0,0,1,35
10,1270,0,0,0,0
10,1148,0,0,0,0
10,1323,0,0,1,19
10,1215,0,0,0,0
10,1193,0,0,0,0
10,1267,0,0,1,20
10,1163,0,0,0,0
10,1269,0,0,0,0
10,1209,0,0,1,22
10,1217,0,0,0,0
10,1294,0,0,0,0
10,1173,0,0,1,25
10,1242,0,0,0,0
10,1153,0,0,0,0
10,1350,0,0,1,25
10,1195,0,0,0,0
10,1221,0,0,0,0
10,1247,0,0,1,21
10,1161,0,0,0,0
10,1191,0,0,0,0
10,1156,0,0,1,18
10,1260,0,0,0,0
10,1228,0,0,0,0
10,1191,0,0,1,39
10,1345,0,0,0,0
10,1165,0,0,0,0
10,1235,0,0,1,17
10,1158,0,0,0,0
10,1242,0,0,0,0
10,1272,0,0,1,23
10,1141,0,0,0,0
10,1267,0,0,0,0
10,1168,0,0,1,23
10,1221,0,0,0,0
10,1198,0,0,0,0
10,1213,0,0,1,28
10,1243,0,0,0,0
10,1150,0,0,0,0
10,1286,0,0,1,19
10,1153,0,0,0,0
10,1236,0,0,0,0
10,1210,0,0,1,23
10,1202,0,0,0,0
10,1212,0,0,0,0
10,1167,0,0,1,23
10,1208,0,0,0,0
10,1167,0,0,0,0
10,1323,0,0,1,38
10,1191,0,0,0,0
10,1158,0,0,0,0
10,1210,0,0,1,24
10,1148,0,0,0,0
10,1215,0,0,0,0
10,1192,0,0,1,25
10,1245,0,0,0,0
10,1245,0,0,0,0
10,1176,0,0,1,32
10,1265,0,0,0,0
10,1144,0,0,0,0
10,1282,0,0,1,28
10,1251,0,0,0,0
10,1227,0,0,0,0
10,1321,0,0,1,36
10,1145,0,0,0,0
10,1229,0,0,0,0
10,1190,0,0,1,29
10,1219,0,0,0,0
10,1233,0,0,0,0
10,1177,0,0,1,26
10,1215,0,0,0,0
10,1163,0,0,0,0
10,1227,0,0,1,24
10,1187,0,0,0,0
10,1365,0,0,0,0
10,1239,0,0,1,38
10,1164,0,0,0,0
10,1201,0,0,0,0
10,1212,0,0,1,16
10,1200,0,0,0,0
10,1283,0,0,0,0
10,1173,0,0,1,28
10,1280,0,0,0,0
10,1199,0,0,0,0
10,1229,0,0,1,27
10,1213,0,0,0,0
10,1178,0,0,0,0
10,1321,0,0,1,21
10,1161,0,0,0,0
10,1242,0,0,0,0
10,1266,0,0,1,23
10,1265,0,0,0,0
10,1253,0,0,0,0
10,1166,0,0,1,23
10,1268,0,0,0,0
10,1141,0,0,0,0
10,1279,0,0,1,27
10,1209,0,0,0,0
10,1196,0,0,0,0
10,1261,0,0,1,31
10,1151,0,0,0,0
10,1188,0,0,0,0
10,1155,0,0,1,18
10,1267,0,0,0,0
10,1205,0,0,0,0
10,1216,0,0,1,39
10,1233,0,0,0,0
10,1243,0,0,0,0
10,1341,0,0,1,33
10,1157,0,0,0,0
10,1274,0,0,0,0
10,1189,0,0,1,21
10,1272,0,0,0,0
10,1224,0,0,0,0
10,1158,0,0,1,24
10,1212,0,0,0,0
10,1158,0,0,0,0
10,1289,0,0,1,23
10,1185,0,0,0,0
10,1255,0,0,0,0
10,1351,0,0,1,37
10,1163,0,0,0,0
10,1213,0,0,0,0
10,1191,0,0,1,27
10,1194,0,0,0,0
