pid,execution_time(ms),scavenge_count,scavenge_time,marksweep_count,marksweep_time
11,418,0,0,0,0
11,125,0,0,0,0
11,173,1,14,0,0
11,154,1,11,0,0
11,151,1,1,0,0
11,151,1,1,0,0
11,154,1,1,0,0
11,164,1,1,0,0
11,164,1,1,0,0
11,157,1,1,0,0
11,264,1,1,0,0
11,259,1,2,0,0
11,151,1,1,0,0
11,158,1,1,0,0
11,159,1,1,0,0
11,156,1,1,0,0
11,149,1,2,0,0
11,153,1,0,0,0
11,164,1,2,0,0
11,151,1,1,0,0
11,162,1,2,0,0
11,157,1,2,0,0
11,161,1,1,0,0
11,161,1,2,0,0
11,309,1,1,0,0
11,283,1,1,0,0
11,168,1,2,0,0
11,154,1,1,0,0
11,149,1,1,0,0
11,155,1,1,0,0
11,150,1,1,0,0
11,161,1,1,0,0
11,162,1,1,0,0
11,157,1,2,0,0
11,141,1,1,0,0
11,152,1,1,0,0
11,169,1,1,0,0
11,162,1,1,0,0
11,308,1,2,0,0
11,257,1,1,0,0
11,151,1,2,0,0
11,145,1,1,0,0
11,139,1,1,0,0
11,153,1,1,0,0
11,145,1,2,0,0
11,153,1,2,0,0
11,146,1,1,0,0
11,157,1,1,0,0
11,161,1,1,0,0
11,153,1,2,0,0
11,153,1,1,0,0
11,180,1,1,0,0
11,278,1,2,0,0
11,263,1,1,0,0
11,157,1,1,0,0
11,158,1,2,0,0
11,161,1,1,0,0
11,153,1,1,0,0
11,151,1,2,0,0
11,156,1,2,0,0
11,155,1,1,0,0
11,166,1,2,0,0
11,161,1,1,0,0
11,161,1,1,0,0
11,150,1,1,0,0
11,176,1,2,0,0
11,292,1,1,0,0
11,242,1,2,0,0
11,143,1,1,0,0
11,150,1,2,0,0
11,146,1,1,0,0
11,146,1,1,0,0
11,153,1,1,0,0
11,151,1,1,0,0
11,159,1,1,0,0
11,150,1,2,0,0
11,149,1,1,0,0
11,147,1,1,0,0
11,152,1,2,0,0
11,160,1,1,0,0
11,224,1,1,0,0
11,248,1,2,0,0
11,172,1,1,0,0
11,160,1,0,0,0
11,152,1,2,0,0
11,169,1,1,0,0
11,146,1,2,0,0
11,146,1,1,0,0
11,150,1,1,0,0
11,156,1,1,0,0
11,151,1,1,0,0
11,155,1,2,0,0
11,159,1,1,0,0
11,152,1,1,0,0
11,153,1,2,0,0
11,285,1,1,0,0
11,240,1,1,0,0
11,161,1,2,0,0
11,160,1,1,0,0
11,139,1,1,0,0
11,145,1,1,0,0
11,138,1,1,0,0
11,143,1,1,0,0
11,141,1,1,0,0
11,144,1,1,0,0
11,149,1,1,0,0
11,150,1,1,0,0
11,149,1,1,0,0
11,152,1,1,0,0
11,154,1,1,0,0
11,271,1,1,0,0
11,233,1,1,0,0
11,169,1,1,0,0
11,151,1,2,0,0
11,148,1,1,0,0
11,150,1,1,0,0
11,157,1,1,0,0
11,159,1,2,0,0
11,154,1,1,0,0
11,149,1,1,0,0
11,156,1,1,0,0
11,153,1,1,0,0
11,149,1,1,0,0
11,162,1,2,0,0
11,285,1,1,0,0
11,246,1,1,0,0
11,178,1,2,0,0
11,165,1,1,0,0
