pid,execution_time,scavenge_count,scavenge_time,marksweep_count,marksweep_time
13038,10,0,0,0,0
13038,9,0,0,0,0
13038,8,0,0,0,0
13038,8,0,0,0,0
13038,8,0,0,0,0
13038,8,0,0,0,0
13038,7,0,0,0,0
13038,7,0,0,0,0
13038,8,0,0,0,0
13038,7,0,0,0,0
13038,8,0,0,0,0
13038,8,0,0,0,0
13038,8,0,0,0,0
13038,8,0,0,0,0
13038,8,0,0,0,0
13038,7,0,0,0,0
13038,8,0,0,0,0
13038,7,0,0,0,0
13038,8,0,0,0,0
13038,7,0,0,0,0
13038,12,0,0,0,0
13038,8,0,0,0,0
13038,9,0,0,0,0
13038,8,0,0,0,0
13038,20,0,0,0,0
13038,13,0,0,0,0
13038,49,1,19,0,0
13038,42,1,10,0,0
13038,9,0,0,0,0
13038,25,0,0,0,0
13038,10,0,0,0,0
13038,10,0,0,0,0
13038,9,0,0,0,0
13038,7,0,0,0,0
13038,11,0,0,0,0
13038,7,0,0,0,0
13038,9,0,0,0,0
13038,8,0,0,0,0
13038,11,0,0,0,0
13038,22,0,0,0,0
13038,8,0,0,0,0
13038,9,0,0,0,0
13038,11,0,0,0,0
13038,8,0,0,0,0
13038,8,0,0,0,0
13038,7,0,0,0,0
13038,8,0,0,0,0
13038,7,0,0,0,0
13038,7,0,0,0,0
13038,7,0,0,0,0
13038,7,0,0,0,0
13038,7,0,0,0,0
13038,7,0,0,0,0
13038,14,1,3,0,0
13038,19,1,3,0,0
13038,8,0,0,0,0
13038,6,0,0,0,0
13038,7,0,0,0,0
13038,6,0,0,0,0
13038,12,0,0,0,0
13038,8,0,0,0,0
13038,10,0,0,0,0
13038,11,0,0,0,0
13038,7,0,0,0,0
13038,7,0,0,0,0
13038,7,0,0,0,0
13038,6,0,0,0,0
13038,6,0,0,0,0
13038,7,0,0,0,0
13038,6,0,0,0,0
13038,6,0,0,0,0
13038,7,0,0,0,0
13038,8,0,0,0,0
13038,12,0,0,0,0
13038,7,0,0,0,0
13038,13,0,0,0,0
13038,6,0,0,0,0
13038,40,0,0,0,0
13038,14,0,0,0,0
13038,11,0,0,0,0
13038,14,1,4,0,0
13038,24,1,3,0,0
13038,11,0,0,0,0
13038,12,0,0,0,0
13038,10,0,0,0,0
13038,8,0,0,0,0
13038,7,0,0,0,0
13038,7,0,0,0,0
13038,7,0,0,0,0
13038,7,0,0,0,0
13038,7,0,0,0,0
13038,7,0,0,0,0
13038,7,0,0,0,0
13038,8,0,0,0,0
13038,10,0,0,0,0
13038,7,0,0,0,0
13038,12,0,0,0,0
13038,7,0,0,0,0
13038,7,0,0,0,0
13038,8,0,0,0,0
13038,8,0,0,0,0
13038,13,0,0,0,0
13038,11,0,0,0,0
13038,12,0,0,0,0
13038,7,0,0,0,0
13038,20,0,0,0,0
13038,7,0,0,0,0
13038,12,1,3,0,0
13038,12,1,2,0,0
13038,7,0,0,0,0
13038,12,0,0,0,0
13038,8,0,0,0,0
13038,11,0,0,0,0
13038,21,0,0,0,0
13038,26,0,0,0,0
13038,13,0,0,0,0
13038,26,0,0,0,0
13038,14,0,0,0,0
13038,7,0,0,0,0
13038,7,0,0,0,0
13038,16,0,0,0,0
13038,15,0,0,0,0
13038,33,0,0,0,0
13038,35,0,0,0,0
13038,43,0,0,0,0
13038,7,0,0,0,0
13038,15,0,0,0,0
13038,25,0,0,0,0
13038,12,0,0,0,0
13038,8,0,0,0,0
13038,12,0,0,0,0
13038,7,0,0,0,0
13038,6,0,0,0,0
13038,9,0,0,0,0
13038,6,0,0,0,0
13038,13,1,5,0,0
13038,10,1,3,0,0
13038,9,0,0,0,0
13038,7,0,0,0,0
13038,8,0,0,0,0
13038,7,0,0,0,0
13038,10,0,0,0,0
13038,7,0,0,0,0
13038,7,0,0,0,0
13038,12,0,0,0,0
13038,7,0,0,0,0
13038,6,0,0,0,0
13038,7,0,0,0,0
13038,6,0,0,0,0
13038,6,0,0,0,0
13038,6,0,0,0,0
13038,6,0,0,0,0
13038,7,0,0,0,0
13038,7,0,0,0,0
13038,7,0,0,0,0
13038,6,0,0,0,0
13038,6,0,0,0,0
13038,6,0,0,0,0
13038,7,0,0,0,0
13038,15,0,0,0,0
13038,6,0,0,0,0
